 4043,    1,  899,    0,  899
 4144,    8,  872,    1,  899
 4245,   15,  769,    9,  838
 4346,   21,  716,   15,  774
 4447,   27,  652,   21,  710
 4548,   33,  596,   27,  650
 4649,   37,  542,   33,  591
 4750,   42,  492,   38,  534
 4851,   47,  450,   43,  485
 4952,   51,  409,   48,  441
 5053,   54,  370,   52,  396
 5154,   58,  334,   56,  355
 5255,   61,  303,   60,  315
 5357,   64,  268,   63,  278
 5458,   67,  244,   67,  245
 5559,   69,  211,   69,  216
 5660,   73,   73,   73,   72
 5762,   73,   73,   74,   72
 5863,   74,   73,   75,   72
 5964,   75,   73,   76,   71
 6065,   75,   73,   77,   71
 6167,   77,   72,   77,   71
 6268,   75,   76,   77,   72
 6369,   76,   74,   78,   70
 6470,   77,   74,   79,   70
 6572,   77,   75,   79,   69
 6673,   78,   74,   79,   70
 6774,   78,   73,   80,   69
 6875,   78,   74,   80,   69
 6977,   79,   73,   80,   69
 7078,   79,   74,   80,   69
 7179,   78,   75,   81,   68
 7280,   79,   74,   81,   67
 7381,   79,   74,   81,   68
 7483,   80,   74,   81,   67
 7584,   79,   75,   81,   66
 7685,   79,   74,   81,   67
 7787,   80,   74,   81,   66
 7888,   80,   74,   82,   66
 7989,   81,   72,   82,   66
 8090,   81,   74,   82,   66
 8192,   80,   74,   81,   66
 8293,   80,   74,   81,   66
 8394,   80,   74,   81,   66
 8495,   81,   73,   81,   65
 8597,   81,   73,   82,   65
 8698,   80,   73,   81,   65
 8799,   80,   74,   81,   66
 8900,   81,   73,   81,   66
 9002,   80,   74,   81,   65
 9103,   80,   73,   81,   66
 9204,   80,   74,   82,   64
 9305,   80,   74,   81,   64
 9407,   81,   73,   81,   64
 9508,   81,   73,   80,   66
 9609,   81,   72,   81,   65
 9710,   81,   73,   81,   65
 9812,   81,   73,   81,   65
 9913,   81,   75,   81,   66
10014,   81,   74,   81,   65
10115,   81,   74,   81,   66
10217,   81,   74,   81,   66
10318,   81,   72,   80,   65
10419,   81,   74,   80,   65
10520,   80,   73,   80,   65
10622,   81,   73,   80,   65
10723,   81,   73,   80,   65
10824,   81,   73,   80,   66
10925,   80,   73,   80,   65
11027,   80,   74,   80,   65
11128,   80,   74,   80,   66
11229,   81,   72,   80,   65
11330,   81,   73,   80,   65
11432,   81,   74,   80,   66
11533,   81,   74,   80,   66
11634,   80,   74,   80,   67
11735,   80,   74,   80,   67
11837,   81,   72,   80,   67
11938,   81,   74,   80,   66
12039,   81,   73,   80,   66
12140,   81,   73,   81,   66
