  376,   78,   66
  477,   77,   67
  578,   78,   66
  679,   77,   67
  781,   78,   66
  882,   77,   67
  983,   78,   68
 1084,   77,   67
 1186,   78,   66
 1287,   76,   69
 1388,   78,   66
 1489,   78,   67
 1591,   77,   68
 1692,   79,   65
 1793,   78,   66
 1894,   77,   68
 1996,   79,   65
 2097,   77,   68
 2198,   77,   67
 2299,   77,   67
 2401,   77,   66
 2502,   77,   68
 2603,   78,   66
 2704,   77,   66
 2806,   77,   67
 2907,   77,   68
 3008,   77,   67
 3109,   54,   69
 3211,   53,  108
 3312,   56,  107
 3413,   60,  105
 3514,   64,  102
 3616,   67,  100
 3717,   70,   97
 3818,   72,   94
 3919,   74,   92
 4020,   52,  128
 4122,   56,  127
 4223,   59,  123
 4324,   63,  120
 4426,   66,  117
 4527,   69,  114
 4628,   72,  111
 4729,   74,  107
 4830,   77,  105
 4932,   79,  102
 5033,   71,   99
 5134,   59,  134
 5236,   62,  130
 5337,   65,  127
 5438,   68,  122
 5539,   71,  119
 5641,   74,  115
 5742,   77,  112
 5843,   79,  108
 5944,   80,  106
 6046,   82,  103
 6147,   66,  101
 6248,   62,  132
 6349,   65,  128
 6450,   69,  123
 6552,   72,  118
 6653,   74,  115
 6754,   77,  112
 6856,   78,  110
 6957,   80,  106
 7058,   70,  122
 7159,   58,  142
 7261,   62,  137
 7362,   65,  131
 7463,   68,  126
 7564,   70,  122
 7665,   74,  117
 7767,   76,  115
 7868,   78,  111
 7969,   80,  108
 8071,   61,  138
 8172,   58,  144
 8273,   61,  138
 8374,   64,  132
 8476,   67,  127
 8577,   70,  122
 8678,   73,  119
 8779,   76,  115
 8880,   78,  112
 8982,   80,  109
 9083,   70,  124
 9184,   58,  143
 9286,   61,  139
 9387,   65,  132
 9488,   68,  127
 9589,   70,  123
 9690,   73,  120
 9792,   76,  116
 9893,   77,  113
 9994,   75,  117
10096,   57,  146
10197,   62,  143
10298,   65,  137
10399,   67,  130
10500,   70,  126
10602,   72,  121
10703,   75,  118
10804,   78,  115
10906,   54,  134
11007,   59,  147
11108,   61,  141
11209,   65,  134
11311,   68,  130
11412,   71,  125
11513,   72,  121
11614,   76,  118
11716,   77,  115
11817,   60,  113
11918,   58,  148
12019,   61,  143
12121,   64,  137
12222,   67,  131
12323,   70,  126
12424,   72,  123
12526,   75,  118
12627,   76,  116
12728,   69,  112
12829,   55,  150
12931,   59,  145
13032,   62,  139
13133,   66,  132
13234,   69,  127
13336,   72,  122
13437,   74,  119
13538,   76,  116
13639,   77,  115
13741,   61,  111
13842,   49,  160
13943,   53,  155
14044,   57,  147
14145,   61,  139
14247,   66,  128
14348,   69,  123
14449,   71,  120
14551,   74,  116
14652,   65,  131
14753,   54,  149
14854,   58,  144
14956,   61,  138
15057,   63,  133
15158,   67,  127
15259,   70,  123
15361,   72,  120
15462,   75,  115
15563,   69,  125
15664,   53,  151
15765,   56,  147
15867,   60,  140
15968,   63,  134
16069,   66,  129
16171,   69,  124
16272,   72,  120
16373,   74,  117
16474,   76,  114
16576,   78,  111
16677,   53,  150
16778,   57,  146
16879,   61,  139
16981,   63,  133
17082,   66,  129
17183,   69,  125
17284,   72,  120
17386,   74,  117
17487,   76,  115
17588,   64,  133
17689,   58,  144
17791,   61,  139
17892,   65,  133
17993,   68,  127
18094,   69,  125
18196,   72,  121
18297,   76,  118
18398,   77,  114
18499,   53,  115
18601,   57,  148
18702,   61,  143
18803,   64,  136
18904,   67,  131
19005,   69,  126
19107,   72,  123
19208,   74,  119
19309,   76,  116
19411,   78,  113
19512,   79,  110
19613,   82,  108
19714,   83,  105
19816,   85,  102
19917,   86,   98
20018,   88,   95
20119,   89,   92
20221,   89,   89
20322,   90,   85
20423,   91,   80
20524,   92,   78
20626,   92,   75
20727,   91,   74
