5394,1,0,120,0,120,,853,853
5495,1.101,9,120,2,120,,721,760
5596,1.202,16,120,10,120,,533,606
5698,1.304,22,120,17,120,,418,472
5799,1.405,28,120,24,120,,331,370
5900,1.506,34,120,30,120,,267,292
6001,1.607,39,120,36,120,,216,233
6103,1.709,45,120,41,120,,182,188
6204,1.81,49,120,47,120,,154,154
6305,1.911,53,120,51,120,,130,130
6407,2.013,59,100,58,94,,100,94
6508,2.114,63,85,62,78,,85,78
6609,2.215,66,73,65,67,,73,67
6710,2.316,69,58,67,60,,58,60
6811,2.417,69,70,67,74,,70,74
6913,2.519,70,73,69,74,,73,74
7014,2.62,69,95,70,70,,95,70
7115,2.721,71,82,72,63,,82,63
7216,2.822,74,68,73,67,,68,67
7318,2.924,75,58,73,68,,58,68
7419,3.025,75,66,73,77,,66,77
7520,3.126,75,69,75,64,,69,64
7621,3.227,75,81,76,66,,81,66
7723,3.329,76,74,76,68,,74,68
7824,3.43,78,61,77,67,,61,67
7925,3.531,76,82,77,69,,82,69
8027,3.633,77,73,77,67,,73,67
8128,3.734,78,66,78,68,,66,68
8229,3.835,78,74,78,66,,74,66
8330,3.936,79,60,78,73,,60,73
8432,4.038,79,70,79,63,,70,63
8533,4.139,79,72,79,61,,72,61
8634,4.24,79,75,79,64,,75,64
8735,4.341,79,75,79,70,,75,70
8837,4.443,79,69,79,63,,69,63
8938,4.544,80,61,80,60,,61,60
9039,4.645,79,77,79,65,,77,65
9140,4.746,80,66,80,65,,66,65
9242,4.848,80,63,80,60,,63,60
9343,4.949,80,63,80,59,,63,59
9444,5.05,79,75,79,68,,75,68
9545,5.151,80,70,79,70,,70,70
9647,5.253,80,70,80,69,,70,69
9748,5.354,80,68,80,70,,68,70
9849,5.455,80,72,80,62,,72,62
9950,5.556,80,72,80,62,,72,62
10052,5.658,79,77,80,66,,77,66
10153,5.759,80,76,80,67,,76,67
10254,5.86,82,63,82,62,,63,62
10355,5.961,82,51,81,53,,51,53
10457,6.063,81,70,80,67,,70,67
10558,6.164,80,66,80,60,,66,60
10659,6.265,79,81,80,68,,81,68
10760,6.366,80,66,80,64,,66,64
10862,6.468,80,65,81,65,,65,65
10963,6.569,80,69,81,66,,69,66
11064,6.67,80,78,81,64,,78,64
11165,6.771,80,69,81,60,,69,60
11267,6.873,81,67,81,67,,67,67
