  849,    0,  880,    0,  880
  950,    9,  872,    4,  876
 1051,   16,  783,   12,  830
 1153,   22,  714,   19,  754
 1254,   28,  658,   26,  680
 1355,   33,  596,   33,  612
 1457,   39,  541,   39,  549
 1558,   43,  489,   44,  488
 1659,   48,  444,   49,  434
 1760,   53,  391,   54,  384
 1862,   56,  345,   58,  338
 1963,   61,  312,   62,  298
 2064,   65,  269,   66,  255
 2165,   67,  228,   70,  211
 2267,   70,  203,   73,  177
 2368,   73,  172,   76,  145
 2469,   75,  144,   79,  117
 2570,   77,  123,   81,   88
 2672,   80,  100,   84,   61
 2773,   82,   76,   83,   34
 2874,   82,   58,   83,   42
 2975,   82,   56,   82,   48
 3077,   81,   54,   81,   51
 3178,   80,   62,   82,   64
 3279,   79,   71,   81,   58
 3380,   79,   83,   82,   61
 3482,   82,   81,   82,   57
 3583,   83,   57,   82,   58
 3684,   82,   45,   81,   54
 3785,   81,   56,   81,   62
 3887,   81,   65,   81,   62
 3988,   79,   65,   81,   60
 4089,   80,   81,   82,   63
 4190,   81,   64,   81,   67
 4292,   81,   55,   81,   50
 4393,   80,   63,   80,   45
 4494,   80,   72,   81,   58
 4595,   79,   77,   81,   58
 4697,   80,   70,   80,   65
 4798,   82,   70,   80,   69
 4899,   82,   62,   81,   61
 5000,   81,   56,   82,   61
 5102,   80,   69,   82,   64
 5203,   80,   71,   82,   56
 5304,   79,   84,   81,   56
 5405,   80,   67,   82,   52
 5507,   82,   60,   80,   51
 5608,   81,   56,   81,   64
 5709,   79,   62,   80,   57
 5810,   80,   70,   81,   62
 5912,   80,   75,   81,   57
 6013,   80,   71,   82,   57
 6114,   81,   67,   82,   63
 6215,   81,   69,   82,   56
 6317,   81,   74,   82,   61
 6418,   53,  322,   53,  301
 6519,   57,  323,   57,  320
 6620,   61,  287,   61,  287
 6722,   65,  251,   65,  245
 6823,   67,  217,   69,  209
 6924,   70,  183,   72,  175
 7025,   73,  157,   75,  143
 7127,   75,  129,   77,  108
 7228,   78,  108,   80,   83
 7329,   54,  228,   55,  200
 7430,   58,  316,   59,  296
 7532,   61,  282,   63,  262
 7633,   65,  245,   67,  224
 7734,   68,  214,   70,  190
 7835,   70,  180,   73,  157
 7937,   73,  149,   76,  129
 8038,   76,  128,   79,  103
 8139,   79,  103,   81,   76
 8240,   80,   82,   83,   48
 8342,   83,   65,   83,   36
 8443,   83,   49,   82,   47
 8544,   54,   45,   53,   58
 8645,   54,  337,   56,  340
 8747,   57,  330,   59,  318
 8848,   60,  308,   62,  284
 8949,   64,  272,   66,  250
 9050,   68,  235,   70,  212
 9152,   70,  195,   73,  172
 9253,   72,  175,   75,  144
 9354,   75,  155,   78,  124
 9455,   50,  127,   53,   90
 9557,   54,  376,   58,  345
 9658,   58,  332,   61,  297
 9759,   61,  291,   65,  260
 9860,   65,  262,   68,  222
 9962,   68,  225,   71,  191
10063,   71,  195,   75,  160
10164,   74,  165,   78,  125
10265,   75,  138,   80,   98
10367,   59,  121,   63,   77
10468,   56,  289,   59,  241
10569,   60,  314,   63,  282
10670,   63,  272,   67,  240
10772,   66,  240,   70,  205
10873,   69,  215,   73,  175
10974,   71,  188,   76,  147
11075,   74,  161,   79,  116
11177,   77,  132,   81,   88
11278,   79,  105,   84,   61
11379,   81,   82,   83,   38
11480,   82,   67,   82,   48
11582,   53,   51,   52,   54
11683,   54,  349,   53,  355
11784,   56,  335,   57,  341
11885,   59,  315,   60,  307
11987,   63,  281,   64,  271
12088,   66,  243,   67,  231
12189,   69,  215,   71,  200
12290,   72,  155,   74,  136
12392,   74,  134,   77,  104
12493,   78,  109,   80,   78
12594,   52,  131,   53,   91
12695,   55,  340,   58,  311
12797,   59,  300,   62,  272
12898,   62,  263,   65,  232
12999,   65,  235,   69,  203
13100,   69,  205,   72,  175
13202,   71,  177,   75,  134
13303,   74,  152,   78,  114
13404,   77,  125,   81,   87
13505,   78,  104,   82,   58
13607,   81,   87,   83,   40
13708,   56,   70,   59,   51
13809,   57,  311,   58,  303
13910,   59,  287,   58,  303
14012,   63,  257,   63,  269
14113,   66,  223,   66,  234
14214,   69,  200,   69,  196
14315,   72,  170,   73,  167
14417,   74,  148,   75,  141
14518,   76,  118,   78,  103
14619,   78,   91,   81,   80
14720,   80,   81,   83,   57
14822,   82,   63,   83,   48
14923,   82,   45,   83,   56
15024,   81,   55,   84,   51
15125,   51,  127,   52,  124
15227,   52,  363,   54,  354
15328,   56,  327,   58,  309
15429,   60,  288,   62,  271
15530,   64,  256,   66,  231
15632,   66,  228,   69,  197
15733,   69,  194,   72,  165
15834,   71,  168,   75,  135
15935,   74,  150,   78,  110
16037,   76,  122,   80,   84
16138,   78,  103,   82,   58
16239,   64,   85,   68,   45
16340,   58,  317,   57,  288
16441,   62,  276,   59,  275
16543,   67,  242,   66,  248
16644,   69,  209,   69,  214
16745,   72,  187,   72,  184
16847,   74,  156,   75,  152
16948,   76,  137,   77,  124
17049,   77,  116,   80,  100
17150,   80,  103,   81,   76
17252,   81,   76,   83,   64
17353,   81,   61,   83,   43
17454,   54,   69,   54,   49
17555,   55,  334,   55,  331
17657,   59,  320,   59,  324
17758,   63,  285,   63,  288
17859,   65,  248,   66,  249
17960,   68,  227,   69,  218
18062,   70,  198,   72,  183
18163,   73,  177,   75,  155
18264,   74,  148,   77,  127
18365,   77,  130,   80,  101
18467,   54,  104,   57,   76
18568,   58,  336,   61,  300
18669,   61,  296,   64,  264
18770,   64,  264,   67,  234
18871,   67,  232,   71,  203
18973,   70,  202,   73,  164
19074,   72,  178,   77,  145
19175,   74,  150,   79,  109
19277,   77,  130,   81,   88
19378,   79,  107,   83,   63
19479,   81,   88,   84,   45
19580,   54,   67,   54,   38
19682,   56,  337,   57,  337
19783,   60,  311,   58,  302
19884,   62,  276,   62,  297
19985,   65,  252,   65,  258
20087,   68,  223,   69,  221
20188,   70,  196,   72,  189
20289,   72,  174,   74,  158
20390,   75,  127,   77,  102
20492,   78,  103,   80,   81
20593,   79,   83,   83,   62
20694,   82,   68,   84,   43
20795,   56,   61,   57,   51
20896,   54,  341,   53,  360
20998,   56,  321,   55,  344
21099,   59,  296,   59,  308
21200,   63,  264,   62,  270
21301,   65,  241,   66,  235
21403,   68,  209,   69,  198
21504,   70,  183,   72,  171
21605,   73,  164,   75,  144
21707,   75,  143,   77,  116
21808,   77,  117,   80,   87
21909,   79,   96,   82,   62
22010,   81,   77,   83,   42
22112,   82,   63,   83,   51
22213,   54,   87,   54,   68
22314,   54,  329,   55,  321
22415,   59,  308,   58,  308
22516,   62,  274,   62,  271
22618,   65,  247,   65,  235
22719,   68,  221,   69,  203
22820,   70,  194,   72,  172
22922,   72,  167,   75,  142
23023,   75,  141,   77,  111
23124,   76,  114,   80,   87
23225,   78,   97,   82,   69
23327,   80,   83,   83,   45
23428,   82,   67,   82,   42
23529,   83,   56,   82,   52
23630,   59,   51,   59,   60
23732,   53,  356,   53,  352
23833,   54,  345,   55,  336
23934,   57,  317,   59,  297
24035,   61,  281,   63,  258
24137,   64,  249,   67,  224
24238,   67,  221,   70,  192
24339,   69,  201,   72,  161
24440,   71,  171,   76,  137
24542,   75,  154,   79,  112
24643,   77,  123,   81,   83
24744,   78,  109,   83,   64
24845,   80,   94,   83,   47
24947,   83,   71,   82,   47
25048,   55,   48,   53,   55
25149,   56,  322,   56,  344
25250,   57,  317,   59,  317
25352,   61,  300,   62,  287
25453,   64,  267,   66,  251
25554,   67,  238,   69,  218
25655,   68,  209,   72,  189
