  279,    0,  120,    0,  120
  380,    4,  125,    0,  132
  481,   13,  120,    7,  130
  583,   19,  121,   14,  128
  684,   26,  118,   21,  125
  785,   32,  116,   27,  122
  886,   38,  113,   33,  118
  988,   43,  110,   39,  115
 1089,   48,  110,   45,  116
 1190,   52,  103,   49,  109
 1292,   57,   99,   54,  105
 1393,   61,   96,   58,  101
 1494,   64,   92,   62,   97
 1595,   68,   87,   66,   92
 1697,   71,   82,   69,   88
 1798,   73,   79,   71,   84
 1899,   75,   75,   74,   80
 2000,   76,   73,   77,   75
 2102,   77,   70,   78,   72
 2203,   77,   68,   79,   69
 2304,   77,   67,   79,   68
 2405,   78,   65,   80,   66
 2507,   78,   65,   80,   63
 2608,   78,   62,   80,   62
 2709,   77,   61,   80,   59
 2810,   77,   61,   80,   58
 2912,   78,   59,   79,   56
 3013,   77,   59,   79,   54
 3114,   77,   58,   79,   54
 3215,   76,   56,   79,   53
 3317,   75,   56,   78,   51
 3418,   76,   55,   78,   50
 3519,   75,   55,   78,   52
 3620,   75,   55,   77,   50
 3722,   74,   53,   76,   49
 3823,   75,   55,   77,   49
 3924,   74,   52,   76,   49
 4025,   73,   54,   75,   49
 4127,   73,   52,   74,   48
 4228,   72,   53,   74,   47
 4329,   72,   53,   74,   48
 4430,   72,   54,   73,   47
 4532,   71,   53,   73,   47
 4633,   73,   54,   73,   47
 4734,   71,   54,   73,   48
 4835,   71,   53,   72,   47
 4936,   71,   55,   72,   48
 5038,   70,   54,   71,   48
 5139,   71,   53,   71,   47
 5240,   70,   55,   71,   49
 5342,   70,   54,   70,   47
 5443,   70,   54,   70,   47
 5544,   70,   55,   71,   49
 5645,   69,   53,   70,   48
 5747,   71,   55,   70,   48
 5848,   70,   55,   71,   49
 5949,   69,   54,   69,   48
 6050,   70,   55,   69,   48
 6152,   69,   55,   70,   49
 6253,   68,   55,   69,   49
 6354,   69,   55,   69,   48
 6455,   46,   93,   45,   88
 6557,   50,   91,   49,   87
 6658,   55,   87,   53,   83
 6759,   59,   83,   57,   80
 6860,   62,   80,   60,   78
 6962,   65,   77,   63,   75
 7063,   68,   75,   65,   73
 7164,   69,   71,   67,   70
 7265,   47,  106,   44,  106
 7367,   50,  105,   48,  104
 7468,   54,  102,   53,  101
 7569,   58,   98,   57,   97
 7670,   62,   93,   61,   93
 7771,   65,   89,   64,   89
 7873,   69,   84,   68,   85
 7974,   71,   81,   70,   81
 8075,   74,   77,   72,   78
 8176,   75,   74,   74,   74
 8278,   76,   72,   75,   71
 8379,   54,  105,   53,  106
 8480,   55,  106,   53,  108
 8581,   59,  106,   58,  107
 8683,   62,   99,   61,  101
 8784,   66,   95,   64,   97
 8885,   69,   90,   68,   92
 8987,   72,   86,   70,   89
 9088,   75,   81,   73,   84
 9189,   76,   78,   76,   79
 9290,   78,   75,   77,   76
 9392,   78,   72,   79,   72
 9493,   79,   70,   80,   70
 9594,   80,   67,   80,   67
 9695,   79,   67,   80,   65
 9796,   52,  108,   50,  110
 9898,   54,  107,   53,  108
 9999,   58,  103,   58,  104
10100,   62,   99,   62,  100
10201,   66,   94,   65,   96
10303,   69,   91,   68,   92
10404,   71,   86,   70,   89
10505,   75,   83,   74,   83
10607,   77,   79,   77,   80
10708,   64,   76,   64,   76
10809,   54,  114,   54,  113
10910,   57,  110,   58,  111
11011,   61,  105,   62,  107
11113,   65,  102,   65,  103
11214,   69,   97,   68,   99
11315,   71,   93,   71,   94
11417,   74,   89,   74,   90
11518,   77,   85,   76,   86
11619,   77,   82,   78,   81
11720,   79,   77,   79,   77
11822,   80,   74,   81,   74
11923,   81,   71,   82,   71
12024,   81,   69,   81,   68
12125,   57,   82,   57,   84
12227,   60,  102,   60,  101
12328,   64,   98,   63,   98
12429,   66,   94,   67,   94
12530,   69,   91,   70,   90
12631,   71,   88,   72,   89
12733,   75,   82,   75,   82
12834,   76,   79,   76,   79
12935,   78,   74,   78,   74
13037,   78,   72,   78,   72
13138,   79,   70,   79,   69
13239,   80,   68,   80,   67
13340,   80,   66,   80,   66
13442,   79,   64,   80,   63
13543,   80,   63,   80,   62
13644,   79,   60,   79,   58
13745,   79,   59,   79,   58
13847,   78,   59,   80,   57
13948,   79,   58,   78,   55
14049,   78,   56,   79,   55
14150,   78,   57,   79,   53
14252,   77,   56,   78,   53
14353,   77,   54,   78,   52
14454,   76,   54,   77,   51
14555,   75,   54,   76,   51
14657,   74,   54,   77,   48
14758,   74,   54,   75,   49
14859,   73,   55,   75,   48
14960,   74,   53,   75,   49
15062,   73,   54,   75,   47
15163,   74,   51,   74,   47
15264,   73,   53,   74,   47
15365,   73,   52,   74,   47
15467,   71,   54,   72,   48
15568,   72,   53,   73,   47
15669,   71,   53,   72,   47
15770,   71,   53,   72,   47
15872,   72,   52,   71,   48
15973,   70,   55,   71,   47
16074,   70,   54,   71,   47
16175,   71,   53,   71,   48
16277,   69,   55,   71,   48
16378,   69,   55,   70,   48
16479,   70,   53,   70,   49
16580,   69,   55,   70,   49
16682,   68,   56,   70,   49
16783,   69,   55,   69,   50
16884,   45,   93,   45,   87
16985,   47,   93,   48,   87
17087,   52,   90,   52,   84
17188,   56,   86,   56,   80
17289,   61,   82,   60,   77
17390,   64,   78,   62,   75
17491,   66,   75,   64,   73
17593,   68,   73,   67,   70
17694,   69,   71,   67,   69
17795,   54,   96,   50,   97
17896,   43,  114,   41,  114
17998,   48,  111,   46,  111
18099,   53,  111,   51,  112
18200,   57,  104,   54,  106
18302,   60,  101,   58,  102
18403,   64,   97,   62,   98
18504,   67,   92,   66,   94
18605,   71,   88,   70,   90
18707,   52,   85,   50,   86
18808,   55,  114,   53,  116
18909,   58,  111,   58,  113
19010,   62,  107,   61,  110
19111,   65,  104,   64,  106
19213,   68,   99,   67,  102
19314,   71,   96,   70,   99
19415,   73,   92,   72,   93
19517,   75,   86,   75,   90
19618,   78,   82,   77,   84
19719,   80,   79,   80,   81
19820,   56,  105,   55,  108
19922,   60,  111,   59,  114
20023,   63,  108,   63,  112
20124,   66,  105,   65,  108
20225,   69,  100,   67,  104
20327,   71,   96,   71,   99
20428,   74,   93,   73,   96
20529,   77,   88,   76,   91
20630,   78,   84,   78,   87
20732,   64,   79,   61,   82
20833,   58,  112,   56,  118
20934,   62,  109,   61,  115
21035,   65,  106,   64,  112
21137,   68,  102,   67,  108
21238,   71,   98,   70,  104
21339,   73,   94,   73,  100
21440,   76,   91,   74,   96
21542,   77,   85,   77,   91
21643,   79,   82,   79,   86
21744,   52,   79,   52,   84
21845,   55,  117,   56,  121
21947,   59,  116,   60,  118
22048,   62,  112,   63,  114
22149,   65,  109,   66,  110
22250,   68,  104,   69,  106
22351,   71,  101,   72,  103
22453,   73,   97,   74,   98
22554,   75,   93,   76,   95
22655,   79,   84,   79,   85
22757,   80,   80,   81,   81
22858,   80,   78,   83,   76
22959,   56,  114,   59,  112
23060,   60,  111,   62,  108
23162,   63,  107,   65,  105
23263,   66,  103,   68,  101
23364,   68,  100,   71,   97
23465,   71,   96,   73,   93
23567,   74,   91,   75,   89
23668,   76,   87,   78,   84
23769,   78,   84,   79,   80
23870,   80,   78,   81,   77
23972,   81,   76,   83,   72
24073,   82,   72,   82,   70
24174,   82,   70,   83,   68
24275,   56,  109,   58,  104
24376,   58,  107,   60,  103
24478,   63,  106,   64,  102
24579,   65,   99,   66,   96
24680,   68,   96,   69,   92
24782,   71,   92,   72,   88
24883,   74,   87,   75,   82
24984,   76,   83,   77,   79
25085,   78,   81,   79,   76
25187,   79,   75,   79,   73
25288,   80,   73,   80,   70
25389,   81,   70,   80,   68
25490,   80,   68,   80,   66
25592,   49,  115,   46,  118
25693,   51,  115,   48,  118
25794,   56,  111,   53,  114
25895,   60,  107,   57,  111
25997,   63,  104,   60,  107
26098,   66,  100,   64,  103
26199,   69,   96,   67,  100
26300,   72,   92,   70,   96
26402,   74,   88,   72,   92
26503,   76,   85,   74,   88
26604,   78,   80,   76,   85
26705,   55,  105,   53,  109
26807,   60,  112,   59,  116
26908,   63,  107,   62,  111
27009,   66,  103,   65,  108
27110,   69,   99,   68,  104
27212,   73,   95,   71,   99
27313,   74,   92,   74,   97
27414,   76,   88,   76,   92
27515,   77,   85,   77,   90
27617,   63,   80,   65,   84
27718,   54,  120,   56,  122
