  338,    0,  134
  439,   10,  139
  540,   17,  132
  641,   24,  130
  742,   30,  127
  843,   36,  124
  944,   41,  121
 1045,   47,  120
 1146,   51,  117
 1247,   56,  115
 1348,   60,  114
 1449,   63,  111
 1550,   66,  107
 1652,   69,  104
 1753,   73,   99
 1854,   76,   95
 1955,   79,   91
 2057,   81,   88
 2158,   83,   84
 2259,   85,   80
 2360,   86,   77
 2462,   86,   75
 2563,   86,   73
 2664,   87,   71
 2765,   87,   69
 2867,   88,   68
 2968,   87,   67
 3069,   86,   66
 3170,   86,   65
 3272,   86,   64
 3373,   85,   63
 3474,   84,   63
 3575,   84,   62
 3677,   84,   61
 3778,   84,   61
 3879,   83,   61
 3980,   83,   61
 4082,   82,   61
 4183,   81,   61
 4284,   81,   61
 4385,   81,   60
 4487,   81,   59
 4588,   81,   60
 4689,   80,   61
 4790,   79,   61
 4892,   80,   60
 4993,   79,   61
 5094,   78,   62
 5195,   78,   62
 5297,   78,   61
 5398,   78,   61
 5499,   77,   62
 5600,   77,   62
 5702,   77,   61
 5803,   77,   63
 5904,   78,   62
 6005,   77,   62
 6107,   77,   62
 6208,   77,   63
 6309,   78,   63
 6410,   77,   64
 6512,   77,   65
 6613,   77,   64
 6714,   76,   64
 6815,   77,   65
 6917,   76,   63
 7018,   77,   66
 7119,   77,   65
 7220,   77,   66
 7322,   76,   65
 7423,   77,   65
 7524,   77,   64
 7625,   77,   65
 7727,   78,   65
 7828,   77,   66
 7929,   77,   65
 8030,   77,   66
 8132,   77,   66
 8233,   77,   66
 8334,   78,   65
 8435,   48,   68
 8537,   50,  111
 8638,   53,  112
 8739,   57,  109
 8840,   61,  107
 8941,   64,  104
 9043,   67,  101
 9144,   71,   99
 9245,   59,   96
 9346,   53,  130
 9448,   57,  127
 9549,   61,  123
 9650,   64,  118
 9752,   69,  113
 9853,   72,  110
 9954,   74,  107
10055,   77,  104
10157,   57,  135
10258,   60,  132
10359,   64,  127
10460,   67,  122
10562,   70,  118
10663,   73,  115
10764,   76,  111
10865,   78,  108
10967,   80,  105
11068,   81,  103
11169,   84,   98
11270,   84,   96
11372,   86,   92
11473,   88,   88
11574,   89,   84
11675,   91,   80
11777,   91,   77
11878,   91,   75
11979,   91,   72
12080,   91,   70
12182,   91,   69
12283,   90,   68
12384,   71,   67
12485,   63,  106
12587,   65,  106
12688,   68,  103
12789,   71,  102
12890,   73,   98
12992,   76,   94
13093,   77,   92
13194,   55,  127
13295,   59,  124
13397,   62,  121
13498,   66,  118
13599,   69,  114
13700,   71,  112
13802,   76,  109
13903,   77,  106
14004,   55,  116
14105,   59,  138
14207,   62,  134
14308,   65,  129
14409,   69,  125
14510,   71,  120
14612,   75,  117
14713,   76,  114
14814,   62,  111
14915,   55,  150
15017,   58,  145
15118,   62,  138
15219,   65,  132
15320,   68,  128
15422,   71,  123
15523,   73,  120
15624,   53,  126
15725,   57,  147
15827,   61,  141
15928,   64,  135
16029,   67,  130
16130,   70,  125
16232,   72,  121
16333,   73,  120
16434,   53,  116
16535,   58,  147
16637,   61,  143
16738,   65,  136
16839,   69,  130
16940,   71,  126
17041,   73,  120
17143,   76,  117
17244,   77,  114
17345,   79,  111
17447,   81,  108
17548,   64,  107
17649,   54,  150
17750,   59,  146
17852,   64,  132
17953,   67,  128
18054,   70,  122
18155,   72,  119
18257,   75,  116
18358,   76,  114
18459,   69,  126
18560,   54,  150
18661,   58,  145
18763,   61,  138
18864,   65,  132
18965,   68,  126
19067,   71,  122
19168,   73,  119
19269,   75,  116
19370,   78,  112
19471,   71,  123
19573,   55,  148
19674,   59,  143
19775,   63,  136
19877,   65,  131
19978,   68,  127
20079,   70,  123
20180,   73,  118
20281,   75,  116
20383,   77,  113
20484,   53,  151
20585,   57,  147
20687,   60,  144
20788,   63,  134
20889,   66,  129
20990,   69,  124
21092,   71,  120
21193,   75,  116
21294,   77,  113
21395,   79,  110
21497,   80,  107
21598,   69,  125
21699,   58,  143
21800,   61,  138
21902,   66,  133
22003,   69,  128
22104,   71,  123
22205,   74,  119
22307,   76,  115
22408,   79,  113
22509,   80,  109
22610,   82,  107
22712,   81,  104
22813,   50,  155
22914,   54,  152
23015,   58,  145
23117,   62,  137
23218,   65,  132
23319,   68,  125
23420,   71,  121
23522,   73,  118
23623,   76,  114
23724,   78,  111
23825,   71,  110
23927,   56,  147
24028,   60,  143
24129,   63,  137
24230,   66,  131
24332,   69,  126
24433,   71,  123
24534,   74,  117
24635,   75,  115
24737,   78,  112
24838,   79,  110
24939,   60,  107
25040,   57,  147
25141,   60,  143
25243,   63,  137
25344,   67,  130
25445,   70,  126
25547,   72,  121
25648,   75,  118
25749,   76,  115
25850,   62,  113
25951,   57,  148
26053,   62,  137
26154,   65,  131
26255,   68,  127
26357,   70,  123
26458,   72,  120
26559,   75,  116
26660,   77,  113
26762,   51,  153
26863,   55,  149
26964,   59,  142
27065,   62,  136
